# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
10.0900  5.133188407869372e-02  5.079017966555176e-01  1.289821175229514e-01  5.201207148092202e-02
10.1000  5.630376585799667e-02  4.861510265932410e-01  1.181714103288311e-01  6.257554315556686e-02
10.1100  6.104858406513550e-02  4.625043394169287e-01  1.069551319897448e-01  7.356664188831273e-02
10.1200  6.554784938012120e-02  4.370569061214056e-01  9.550936959420757e-02  8.480991642430288e-02
10.1300  6.978405956374496e-02  4.099109057481439e-01  8.401347532563187e-02  9.612629450494137e-02
10.1400  7.374076750980769e-02  3.811751153282843e-01  7.264723427276541e-02  1.073359113555268e-01
10.1500  7.740264506728495e-02  3.509644742092723e-01  6.158803107849550e-02  1.182609450075283e-01
10.1600  8.075554238490372e-02  3.193996245092596e-01  5.100806006832802e-02  1.287284137718056e-01
10.1700  8.378654254851807e-02  2.866064295358401e-01  4.107162272564125e-02  1.385728918646622e-01
10.1800  8.648401130046705e-02  2.527154720907760e-01  3.193255491703189e-02  1.476391005660135e-01
10.1900  8.883764164970928e-02  2.178615346597913e-01  2.373182414215973e-02  1.557843343350833e-01
10.2000  9.083849320187277e-02  1.821830635559663e-01  1.659533432331863e-02  1.628806839903257e-01
10.2100  9.247902605935764e-02  1.458216191464942e-01  1.063197230525260e-02  1.688170223331990e-01
10.2200  9.375312916319709e-02  1.089213143453318e-01  5.931926359357291e-03  1.735007214072517e-01
10.2300  9.465614297043612e-02  7.162824359837480e-02  2.565302640494060e-03  1.768590748735733e-01
10.2400  9.518487638323679e-02  3.408990462307061e-02  5.810607986050255e-04  1.788404036824974e-01
10.2500  9.533761786867767e-02  -3.545384809301186e-03  6.284876723011804e-06  1.794148282546513e-01
10.2600  9.511414073119069e-02  -4.112907274318234e-02  8.458003123569924e-04  1.785746956720810e-01
10.2700  9.451570252268261e-02  -7.851295924646913e-02  3.082142384818861e-03  1.763346558384149e-01
10.2800  9.354503859852736e-02  -1.155497806437495e-01  6.675875903409312e-03  1.727313861095370e-01
10.2900  9.220634985069893e-02  -1.520937894724685e-01  1.156626039804778e-02  1.678229694355221e-01
10.3000  9.050528467225258e-02  -1.880013278786185e-01  1.767224964206192e-02  1.616879365033932e-01
10.3100  8.844891523006253e-02  -2.231313921967131e-01  2.489380909182170e-02  1.544239876429119e-01
10.3200  8.604570814509883e-02  -2.573461864958276e-01  3.311352985197265e-02  1.461464152714018e-01
10.3300  8.330548970148657e-02  -2.905116629192369e-01  4.219851314605015e-02  1.369862523300535e-01
10.3400  8.023940572705164e-02  -3.224980466994392e-01  5.200249506247682e-02  1.270881764302661e-01
10.3500  7.685987630893257e-02  -3.531803437929263e-01  6.236817762084482e-02  1.166082032179487e-01
10.3600  7.318054552804854e-02  -3.824388291496699e-01  7.312972902068521e-02  1.057112057175968e-01
10.3700  6.921622641567769e-02  -4.101595137106648e-01  8.411541334368453e-02  9.456829908616371e-02
10.3800  6.498284135404463e-02  -4.362345883126888e-01  9.515030802017053e-02  8.335413224841993e-02
10.3900  6.049735816056415e-02  -4.605628427723427e-01  1.060590660712708e-01  7.224412926969104e-02
10.4000  5.577772211217613e-02  -4.830500585210765e-01  1.166686795186077e-01  6.141172402812563e-02
10.4100  5.084278418196402e-02  -5.036093732688581e-01  1.268112004221260e-01  5.102563176716807e-02
10.4200  4.571222577491848e-02  -5.221616162860000e-01  1.363263767612040e-01  4.124720044079635e-02
10.4300  4.040648026323048e-02  -5.386356130099719e-01  1.450641618013141e-01  3.222788342122379e-02
10.4400  3.494665163382217e-02  -5.529684578063112e-01  1.528870576643451e-01  2.410687314366134e-02
10.4500  2.935443057190251e-02  -5.651057538395401e-01  1.596722565112774e-01  1.700893264812955e-02
10.4600  2.365200831412455e-02  -5.750018191407739e-01  1.653135460075996e-01  1.104245878662752e-02
10.4700  1.786198861338613e-02  -5.826198580929581e-01  1.697229495221293e-01  6.297807146647234e-03
10.4800  1.200729816442225e-02  -5.879320976918656e-01  1.728320757481787e-01  2.845904558680919e-03
10.4900  6.111095845060242e-03  -5.909198880805671e-01  1.745931570645750e-01  7.371704728468543e-04
10.5000  1.966811323258165e-04  -5.915737669965200e-01  1.749797608992265e-01  7.635810483524825e-07
10.5100  -5.712597944516334e-03  -5.898934879131285e-01  1.739871635411581e-01  6.441649041702665e-04
10.5200  -1.159343695043864e-02  -5.858880118010552e-01  1.716323811860967e-01  2.653103240448778e-03
10.5300  -1.742266692706584e-02  -5.795754625781457e-01  1.679538584113358e-01  5.991823465525204e-03
10.5400  -2.317734564885643e-02  -5.709830464599883e-01  1.630108196723646e-01  1.060369277214199e-02
10.5500  -2.883484789370991e-02  -5.601469355653208e-01  1.568822947116098e-01  1.641213462306929e-02
10.5600  -3.437295437290611e-02  -5.471121162711344e-01  1.496658338853397e-01  2.332187504821424e-02
10.5700  -3.976993897092620e-02  -5.319322029508845e-01  1.414759342680905e-01  3.122048102664074e-02
10.5800  -4.500465395272096e-02  -5.146692178651291e-01  1.324422019089519e-01  3.998016613295517e-02
10.5900  -5.005661280435184e-02  -4.953933381066635e-01  1.227072797202315e-01  4.945983446639862e-02
10.6000  -5.490607038259952e-02  -4.741826106312720e-01  1.124245741125443e-01  5.950733018478613e-02
10.6100  -5.953410006007378e-02  -4.511226365300765e-01  1.017558165949238e-01  6.996185679145307e-02
10.6200  -6.392266756452335e-02  -4.263062258196356e-01  9.086849908629106e-02  8.065652772056950e-02
10.6300  -6.805470122438574e-02  -3.998330241409667e-01  7.993322359685541e-02  9.142100777443206e-02
10.6400  -7.191415834708019e-02  -3.718091128680790e-01  6.912100820587395e-02  1.020842036157958e-01
10.6500  -7.548608747207533e-02  -3.423465842299957e-01  5.860059186697277e-02  1.124769608289652e-01
10.6600  -7.875668625729322e-02  -3.115630931472002e-01  4.853578050572546e-02  1.224347250447618e-01
10.6700  -8.171335477487698e-02  -2.795813875735932e-01  3.908287613878788e-02  1.318001252755766e-01
10.6800  -8.434474401068179e-02  -2.465288192180435e-01  3.038822935252140e-02  1.404254389159108e-01
10.6900  -8.664079938097301e-02  -2.125368365951361e-01  2.258595345493379e-02  1.481748998091514e-01
