# omega0=1, alpha=0.2
# theta0=-0.8001, theta_dot0=0.1234
# t_start=0, t_end=200, h=0.0116355
#   t          x(t)                 v(t)       
7.342018386723609e+01 4.191323245744488e-01 -1.229763844641268e+00
7.353653915070240e+01 2.729196078095317e-01 -1.281586820394755e+00
7.365289443416870e+01 1.213514191647732e-01 -1.321619079655042e+00
7.376924971763501e+01 -3.414047117425042e-02 -1.348916392148182e+00
7.388560500110131e+01 -1.920457106228784e-01 -1.363085462283092e+00
7.400196028456762e+01 -3.508430180359242e-01 -1.364335491738660e+00
7.411831556803392e+01 -5.090704030680147e-01 -1.353469932256885e+00
7.423467085150023e+01 -6.653909401103013e-01 -1.331819435430053e+00
7.435102613496653e+01 -8.186478416595258e-01 -1.301127677831765e+00
7.446738141843284e+01 -9.679044118040548e-01 -1.263409206668630e+00
7.458373670189914e+01 -1.112466885492102e+00 -1.220800967597387e+00
7.470009198536545e+01 -1.251890583340223e+00 -1.175426798760696e+00
7.481644726883175e+01 -1.385971744256794e+00 -1.129288440544609e+00
7.493280255229806e+01 -1.514728572447029e+00 -1.084189671661346e+00
7.504915783576436e+01 -1.638375427043631e+00 -1.041693927484016e+00
7.516551311923067e+01 -1.757293844686479e+00 -1.003111301699942e+00
7.528186840269697e+01 -1.872003451008242e+00 -9.695084607489964e-01
7.539822368616328e+01 -1.983135014697416e+00 -9.417344020906565e-01
7.551457896962958e+01 -2.091407101338527e+00 -9.204555818645487e-01
7.563093425309589e+01 -2.197607097160740e+00 -9.061951330919612e-01
7.574728953656219e+01 -2.302576836580112e+00 -8.993722292206753e-01
7.586364482002850e+01 -2.407202679255803e+00 -9.003388233389872e-01
7.598000010349480e+01 -2.512409613829557e+00 -9.094118580073671e-01
7.609635538696111e+01 -2.619158776465496e+00 -9.268995388562464e-01
7.621271067042741e+01 -2.728447619624657e+00 -9.531203940643850e-01
7.632906595389372e+01 -2.841311808202598e+00 -9.884136200069554e-01
7.644542123736002e+01 -2.958827716822663e+00 -1.033138665814266e+00
7.656177652082633e+01 -3.082114117689741e+00 -1.087661171624218e+00
7.667813180429263e+01 -3.212331252731114e+00 -1.152321317189460e+00
7.679448708775894e+01 -3.350674959095967e+00 -1.227379515955883e+00
7.691084237122524e+01 -3.498362873013250e+00 -1.312933533792321e+00
7.702719765469155e+01 -3.656609037143841e+00 -1.408801144219422e+00
7.714355293815785e+01 -3.826582640789193e+00 -1.514364405494703e+00
7.725990822162416e+01 -4.009346441971591e+00 -1.628377107895157e+00
7.737626350509046e+01 -4.205771168722510e+00 -1.748747744648645e+00
7.749261878855677e+01 -4.416424586564245e+00 -1.872327881468747e+00
7.760897407202307e+01 -4.641438715826149e+00 -1.994759193651262e+00
7.772532935548938e+01 -4.880366297246844e+00 -2.110455972159772e+00
7.784168463895568e+01 -5.132047374208962e+00 -2.212810626843514e+00
7.795803992242199e+01 -5.394516230046912e+00 -2.294688836001588e+00
7.807439520588829e+01 -5.664983209901595e+00 -2.349213138609479e+00
7.819075048935460e+01 -5.939919722502712e+00 -2.370724299865790e+00
7.830710577282090e+01 -6.215255106553744e+00 -2.355698978294492e+00
7.842346105628721e+01 -6.486664638047030e+00 -2.303355885478754e+00
7.853981633975351e+01 -6.749899549954500e+00 -2.215750217299576e+00
7.865617162321982e+01 -7.001095706651899e+00 -2.097323270128825e+00
7.877252690668612e+01 -7.237004797869362e+00 -1.954058678710856e+00
7.888888219015243e+01 -7.455116855411806e+00 -1.792503872227894e+00
7.900523747361873e+01 -7.653673463996686e+00 -1.618904723146952e+00
7.912159275708504e+01 -7.831594794661052e+00 -1.438604750462110e+00
7.923794804055134e+01 -7.988354313418425e+00 -1.255743873230945e+00
7.935430332401765e+01 -8.123833733697385e+00 -1.073207453663827e+00
7.947065860748395e+01 -8.238182522217361e+00 -8.927406973398107e-01
7.958701389095026e+01 -8.331696251448832e+00 -7.151459455453438e-01
7.970336917441657e+01 -8.404719646939423e+00 -5.405018247224317e-01
7.981972445788287e+01 -8.457574545973200e+00 -3.683681847403208e-01
7.993607974134918e+01 -8.490510040732509e+00 -1.979612398050072e-01
8.005243502481548e+01 -8.503671133558470e+00 -2.829715553042689e-02
8.016879030828179e+01 -8.497082543533935e+00 1.416896252092650e-01
8.028514559174809e+01 -8.470645301207163e+00 3.130429864505532e-01
8.040150087521440e+01 -8.424145079735510e+00 4.866847798238960e-01
8.051785615868070e+01 -8.357272605326497e+00 6.633056628987227e-01
8.063421144214701e+01 -8.269657791492161e+00 8.432368927532843e-01
8.075056672561331e+01 -8.160920237644184e+00 1.026296665420183e+00
8.086692200907962e+01 -8.030739089658486e+00 1.211612004111769e+00
8.098327729254592e+01 -7.878944468350710e+00 1.397429777415033e+00
8.109963257601223e+01 -7.705630067254127e+00 1.580949000347993e+00
8.121598785947853e+01 -7.511281474757762e+00 1.758229314021187e+00
8.133234314294484e+01 -7.296907147297751e+00 1.924250460905065e+00
8.144869842641114e+01 -7.064149811906040e+00 2.073200988348829e+00
8.156505370987745e+01 -6.815348344764916e+00 2.199043853245701e+00
8.168140899334375e+01 -6.553518567796664e+00 2.296331522301024e+00
8.179776427681006e+01 -6.282230665103838e+00 2.361136334337856e+00
8.191411956027636e+01 -6.005382404229413e+00 2.391868484177079e+00
8.203047484374267e+01 -5.726895906487803e+00 2.389735266920244e+00
8.214683012720897e+01 -5.450390160883082e+00 2.358685548374985e+00
8.226318541067528e+01 -5.178890196429538e+00 2.304852667276555e+00
8.237954069414158e+01 -4.914622264263948e+00 2.235672423150904e+00
8.249589597760789e+01 -4.658918288488293e+00 2.158929417533979e+00
8.261225126107419e+01 -4.412224322198897e+00 2.081952454214497e+00
8.272860654454050e+01 -4.174187610233274e+00 2.011078165690076e+00
8.284496182800680e+01 -3.943789500273712e+00 1.951393601220829e+00
8.296131711147311e+01 -3.719494879783800e+00 1.906695644222049e+00
8.307767239493941e+01 -3.499398056779846e+00 1.879577473356727e+00
8.319402767840572e+01 -3.281355368962541e+00 1.871557670402884e+00
8.331038296187202e+01 -3.063103480178813e+00 1.883188612130578e+00
8.342673824533833e+01 -2.842368279297735e+00 1.914105036408159e+00
8.354309352880463e+01 -2.616972518627410e+00 1.962996132615711e+00
8.365944881227094e+01 -2.384951032389790e+00 2.027505738364064e+00
8.377580409573724e+01 -2.144680535150153e+00 2.104088257563506e+00
8.389215937920355e+01 -1.895026255917177e+00 2.187874882150972e+00
8.400851466266985e+01 -1.635499637695625e+00 2.272633146121658e+00
8.412486994613616e+01 -1.366410376750458e+00 2.350922191830173e+00
8.424122522960246e+01 -1.088984305339930e+00 2.414537046462112e+00
8.435758051306877e+01 -8.054106137086561e-01 2.455276813274224e+00
8.447393579653507e+01 -5.187839280453511e-01 2.465959541056780e+00
8.459029108000138e+01 -2.329235877392710e-01 2.441473307037795e+00
8.470664636346768e+01 4.791729559618084e-02 2.379569203178936e+00
8.482300164693399e+01 3.194068706318532e-01 2.281137216693735e+00
8.493935693040029e+01 5.774859028605693e-01 2.149869301925289e+00
8.505571221386660e+01 8.186490952026073e-01 1.991428369923466e+00
8.517206749733290e+01 1.040113718235817e+00 1.812393240734798e+00
8.528842278079921e+01 1.239866823011309e+00 1.619269831107466e+00
8.540477806426551e+01 1.416611487308586e+00 1.417766419281951e+00
8.552113334773182e+01 1.569647875173413e+00 1.212398542939566e+00
